Filed week ended,State,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case_Fatality_Ratio,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
2020-01-04,Alabama,0,0,0,0,0.0,,4578,2019-12-28,18523,1923741,0.96
2020-01-04,Alaska,0,0,0,0,0.0,,981,2019-12-28,10177,306493,3.32
2020-01-04,Arizona,0,0,0,0,0.0,,3132,2019-12-28,17991,2864180,0.63
2020-01-04,Arkansas,0,0,0,0,0.0,,2576,2019-12-28,15323,1193713,1.28
2020-01-04,California,0,0,0,0,0.0,,36720,2019-12-28,359606,17203829,2.09
2020-01-04,Colorado,0,0,0,0,0.0,,2431,2019-12-28,21391,2635231,0.81
2020-01-04,Connecticut,0,0,0,0,0.0,,7852,2019-12-28,46562,1655540,2.81
2020-01-04,Delaware,0,0,0,0,0.0,,875,2019-12-28,6881,441663,1.56
2020-01-04,District of Columbia,0,0,0,0,0.0,,481,2019-12-28,7198,576878,1.25
2020-01-04,Florida,0,0,0,0,0.0,,4618,2019-12-28,36189,8608066,0.42
2020-01-04,Georgia,0,0,0,0,0.0,,17060,2019-12-28,38704,4353840,0.89
2020-01-04,Hawaii,0,0,0,0,0.0,,1825,2019-12-28,6813,623074,1.09
2020-01-04,Idaho,0,0,0,0,0.0,,2957,2019-12-28,8854,722812,1.22
2020-01-04,Illinois,0,0,0,0,0.0,,11779,2019-12-28,125348,5902475,2.12
2020-01-04,Indiana,0,0,0,0,0.0,,4434,2019-12-28,20062,3034091,0.66
2020-01-04,Iowa,0,0,0,0,0.0,,4586,2019-12-28,34549,1529213,2.26
2020-01-04,Kansas,0,0,0,0,0.0,,2019,2019-12-28,11175,1359781,0.82
2020-01-04,Kentucky,0,0,0,0,0.0,,5175,2019-12-28,22515,1890475,1.19
2020-01-04,Louisiana,0,0,0,0,0.0,,1658,2019-12-28,16553,1890973,0.88
2020-01-04,Maine,0,0,0,0,0.0,,1663,2019-12-28,7828,601875,1.3
2020-01-04,Maryland,0,0,0,0,0.0,,3997,2019-12-28,30571,2547265,1.2
2020-01-04,Massachusetts,0,0,0,0,0.0,,9464,2019-12-28,76528,3546144,2.16
2020-01-04,Michigan,0,0,0,0,0.0,,13207,2019-12-28,72103,4298761,1.68
2020-01-04,Minnesota,0,0,0,0,0.0,,7293,2019-12-28,68226,2853412,2.39
2020-01-04,Mississippi,0,0,0,0,0.0,,1178,2019-12-28,9681,1107596,0.87
2020-01-04,Missouri,0,0,0,0,0.0,,7474,2019-12-28,29785,2745404,1.08
2020-01-04,Montana,0,0,0,0,0.0,,1555,2019-12-28,11056,453040,2.44
2020-01-04,Nebraska,0,0,0,0,0.0,,1099,2019-12-28,5165,963465,0.54
2020-01-04,Nevada,0,0,0,0,0.0,,2264,2019-12-28,20801,1362256,1.53
2020-01-04,New Hampshire,0,0,0,0,0.0,,690,2019-12-28,4468,652934,0.68
2020-01-04,New Jersey,0,0,0,0,0.0,,15325,2019-12-28,111335,4007202,2.78
2020-01-04,New Mexico,0,0,0,0,0.0,,799,2019-12-28,10140,796105,1.27
