State,Period,Civilian Noninstitutional Population,Labor Force Participation Rate,Employment-Population Ratio,Labor Force,Employment,Unemployment,Unemployment Rate
Arkansas,Jan,2348957,57.5,55.1,1350711,1295198,55513,4.1
Arkansas,Feb,2349523,58.0,55.7,1363390,1309672,53718,3.9
Arkansas,Mar,2350195,58.6,55.8,1378026,1311083,66943,4.9
Arkansas,Apr,2350845,55.7,50.0,1309020,1174337,134683,10.3
Arkansas,May,2351730,57.4,52.0,1349503,1222416,127087,9.4
Arkansas,Jun,2352621,56.6,51.9,1331793,1220682,111111,8.3
Arkansas,Jul,2353638,56.2,52.0,1323626,1223779,99847,7.5
Arkansas,Aug,2354828,57.1,52.9,1345569,1246018,99551,7.4
Arkansas,Sep,2356000,56.7,52.8,1336989,1243382,93607,7.0
Alaska,Jan,544147,62.4,58.3,339445,317141,22304,6.6
Alaska,Feb,543956,62.3,58.7,338951,319053,19898,5.9
Alaska,Mar,543829,62.6,59.0,340653,320700,19953,5.9
Alaska,Apr,543706,61.5,53.0,334391,288431,45960,13.7
Alaska,May,543604,61.5,53.7,334106,292153,41953,12.6
Alaska,Jun,543519,64.5,56.6,350803,307582,43221,12.3
Alaska,Jul,543453,64.8,57.8,351992,313926,38066,10.8
Alaska,Aug,543384,61.7,57.8,335369,314016,21353,6.4
Alaska,Sep,543365,61.5,57.5,334042,312364,21678,6.5
Alabama,Jan,3871113,57.5,55.7,2226903,2154610,72293,3.2
Alabama,Feb,3872006,57.6,56.0,2230950,2166736,64214,2.9
Alabama,Mar,3873022,57.5,55.8,2227113,2160067,67046,3.0
Alabama,Apr,3874113,56.7,49.2,2196340,1905736,290604,13.2
Alabama,May,3875399,57.7,52.4,2235610,2030675,204935,9.2
Alabama,Jun,3876806,56.8,52.3,2201446,2026633,174813,7.9
Alabama,Jul,3878344,57.7,53.0,2237258,2054497,182761,8.2
Alabama,Aug,3880181,58.2,54.9,2257899,2129411,128488,5.7
Alabama,Sep,3882024,57.9,54.2,2248823,2105832,142991,6.4
Arizona,Jan,5777677,62.6,59.7,3616271,3448584,167687,4.6
Arizona,Feb,5786902,62.8,60.1,3633324,3475066,158258,4.4
Arizona,Mar,5796108,61.9,58.1,3588453,3368003,220450,6.1
Arizona,Apr,5805614,60.9,52.9,3534894,3070772,464122,13.1
Arizona,May,5815316,60.9,55.6,3541208,3230745,310463,8.8
Arizona,Jun,5825181,60.3,54.1,3511432,3149825,361607,10.3
Arizona,Jul,5835300,61.1,54.3,3563198,3170550,392648,11.0
Arizona,Aug,5846206,58.3,54.6,3408977,3194945,214032,6.3
Arizona,Sep,5857098,61.2,57.0,3583467,3341128,242339,6.8
Colorado,Jan,4585337,69.1,67.2,3169480,3079301,90179,2.8
Colorado,Feb,4591039,69.5,67.4,3190122,3096352,93770,2.9
Colorado,Mar,4596790,67.9,64.2,3120125,2952457,167668,5.4
Colorado,Apr,4602669,66.0,58.0,3039495,2669804,369691,12.2
Colorado,May,4608794,66.3,59.6,3055723,2748742,306981,10.0
Colorado,Jun,4615047,69.3,61.8,3197104,2853474,343630,10.7
Colorado,Jul,4621514,67.2,62.2,3105010,2874675,230335,7.4
Colorado,Aug,4628126,67.0,62.6,3101057,2895943,205114,6.6
Colorado,Sep,4634670,68.2,64.0,3161886,2966697,195189,6.2
California,Jan,31176732,62.5,59.8,19477354,18637368,839986,4.3
California,Feb,31184208,62.6,59.9,19528486,18686124,842362,4.3
California,Mar,31191183,61.5,58.0,19192116,18085711,1106405,5.8
California,Apr,31199815,59.4,49.8,18518277,15524485,2993792,16.2
California,May,31209071,59.0,49.6,18423388,15473941,2949447,16.0
California,Jun,31219170,60.6,51.5,18928353,16076206,2852147,15.1
California,Jul,31230392,60.6,52.2,18919860,16295254,2624606,13.9
California,Aug,31244172,59.8,53.0,18678585,16558705,2119880,11.3
California,Sep,31257792,60.0,53.6,18761209,16743999,2017210,10.8
Connecticut,Jan,2885511,66.6,63.6,1920807,1835656,85151,4.4
Connecticut,Feb,2885425,66.5,63.5,1917529,1833181,84348,4.4
Connecticut,Mar,2885395,66.6,64.2,1920978,1851926,69052,3.6
Connecticut,Apr,2885469,61.0,56.1,1761222,1619524,141698,8.0
Connecticut,May,2885635,61.6,55.8,1777738,1610001,167737,9.4
Connecticut,Jun,2885941,65.7,59.0,1896444,1703503,192941,10.2
Connecticut,Jul,2886323,67.0,60.1,1934606,1734607,199999,10.3
Connecticut,Aug,2886876,65.0,59.7,1876863,1723645,153218,8.2
Connecticut,Sep,2887459,65.4,60.5,1889423,1747159,142264,7.5
Hawaii,Jan,1090466,61.8,60.0,673454,654010,19444,2.9
Hawaii,Feb,1090210,61.4,59.7,669107,651346,17761,2.7
Hawaii,Mar,1089912,61.2,59.9,667544,652495,15049,2.3
Hawaii,Apr,1089677,58.2,44.4,634102,484201,149901,23.6
Hawaii,May,1089503,57.3,43.9,624626,478495,146131,23.4
Hawaii,Jun,1089320,58.1,50.0,633171,544970,88201,13.9
Hawaii,Jul,1089214,58.9,51.0,641266,555007,86259,13.5
Hawaii,Aug,1089104,58.7,51.1,639152,556936,82216,12.9
